escenario,fpr,tpr
recorte sin ruido,0.5773693279724297,0.5948305571510626
recorte sin ruido,0.5829982768523837,0.600689259046525
recorte sin ruido,0.5879379666858128,0.6051694428489374
recorte sin ruido,0.5932222860425043,0.6088454910970706
recorte sin ruido,0.5978173463526709,0.6144744399770247
recorte sin ruido,0.6044801838024124,0.6202182653647329
recorte sin ruido,0.6095347501435956,0.6238943136128662
recorte sin ruido,0.6144744399770247,0.6295232624928202
recorte sin ruido,0.6206777713957495,0.6341183228029867
recorte sin ruido,0.6260769672601952,0.6384836300976451
recorte sin ruido,0.630097645031591,0.6425043078690408
recorte sin ruido,0.6343480758184952,0.6473291211947156
recorte sin ruido,0.6394026421596783,0.6521539345203906
recorte sin ruido,0.645491097070649,0.6569787478460655
recorte sin ruido,0.6510051694428489,0.6616886846639862
recorte sin ruido,0.6574382538770821,0.6670878805284319
recorte sin ruido,0.6639862148190695,0.6715680643308444
recorte sin ruido,0.6696151636990235,0.6760482481332567
recorte sin ruido,0.6751292360712234,0.6809879379666858
recorte sin ruido,0.6800689259046525,0.6858127512923607
recorte sin ruido,0.684549109707065,0.6898334290637564
recorte sin ruido,0.6891441700172315,0.6960367604824813
recorte sin ruido,0.6932797242963814,0.7016657093624353
recorte sin ruido,0.6979896611143022,0.7060310166570937
recorte sin ruido,0.7025847214244687,0.7130384836300977
recorte sin ruido,0.7077541642734061,0.7185525560022975
recorte sin ruido,0.712578977599081,0.723147616312464
recorte sin ruido,0.7170591614014934,0.7284319356691557
recorte sin ruido,0.7214244686961516,0.7331418724870764
recorte sin ruido,0.7270534175761056,0.7381964388282596
recorte sin ruido,0.7327972429638139,0.7446295232624928
recorte sin ruido,0.737047673750718,0.7495692130959218
recorte sin ruido,0.7421022400919012,0.753819643882826
recorte sin ruido,0.7477311889718553,0.7580700746697301
recorte sin ruido,0.7520964962665135,0.7632395175186675
recorte sin ruido,0.7577254451464676,0.7677197013210798
recorte sin ruido,0.7620907524411258,0.7733486502010339
recorte sin ruido,0.7659965537047674,0.7774842044801838
recorte sin ruido,0.7715106260769673,0.7826536473291212
recorte sin ruido,0.7759908098793796,0.7875933371625503
recorte sin ruido,0.782538770821367,0.7921883974727169
recorte sin ruido,0.7880528431935669,0.7977024698449167
recorte sin ruido,0.7927627800114877,0.8028719126938542
recorte sin ruido,0.7985066053991958,0.8080413555427916
recorte sin ruido,0.8028719126938542,0.8143595634692705
recorte sin ruido,0.8096496266513498,0.8182653647329121
recorte sin ruido,0.8149339460080414,0.8243538196438829
recorte sin ruido,0.8199885123492245,0.829408385985066
recorte sin ruido,0.825847214244687,0.8357265939115451
recorte sin ruido,0.8315910396323952,0.8412406662837449
recorte sin ruido,0.8361860999425618,0.8464101091326823
recorte sin ruido,0.8404365307294658,0.8514646754738656
recorte sin ruido,0.8454910970706491,0.8560597357840322
recorte sin ruido,0.851005169442849,0.8607696726019529
recorte sin ruido,0.8567489948305571,0.8674325100516944
recorte sin ruido,0.8611143021252154,0.8722573233773693
recorte sin ruido,0.8663986214819069,0.8768523836875359
recorte sin ruido,0.8704192992533027,0.8805284319356692
recorte sin ruido,0.8746697300402068,0.8843193566915566
recorte sin ruido,0.8791499138426192,0.8899483055715106
recorte sin ruido,0.8839747271682941,0.8963813900057438
recorte sin ruido,0.8896036760482481,0.9015508328546812
recorte sin ruido,0.8939689833429064,0.9062607696726019
recorte sin ruido,0.8976450315910396,0.9120045950603102
recorte sin ruido,0.902125215393452,0.9156806433084435
recorte sin ruido,0.9082136703044228,0.92027570361861
recorte sin ruido,0.9130384836300977,0.9242963813900057
recorte sin ruido,0.9174037909247559,0.9290063182079265
recorte sin ruido,0.922343480758185,0.9331418724870764
recorte sin ruido,0.9270534175761057,0.9392303273980471
recorte sin ruido,0.9309592188397473,0.9443997702469845
recorte sin ruido,0.9352096496266513,0.9493394600804136
